City,Country,Date,Latitude,Longitude,Temp,Humidity,Max Temp,Cloudiness,Wind Speed
Fomboni,KM,1579739322,-12.28,43.74,82.49,78,82.49,97,19.26
Flinders,AU,1579738818,-34.58,150.86,96.82,10,100.99,72,20.8
Belaya Gora,RU,1579739322,68.53,146.42,-28.1,94,-28.1,83,5.03
Cabo San Lucas,MX,1579739303,22.89,-109.91,71.38,77,73.99,75,4.7
Bom Jesus,BR,1579739322,-9.07,-44.36,71.92,93,71.92,100,1.77
Samarai,PG,1579739148,-10.62,150.67,89.91,56,89.91,6,1.92
Bubaque,GW,1579739258,11.28,-15.83,78.13,63,78.13,100,16.11
Imbituba,BR,1579739080,-28.24,-48.67,69.8,94,69.8,75,3.36
Klyuchi,RU,1579739322,52.27,79.17,18.09,80,18.09,100,18.99
Tateyama,JP,1579739323,34.98,139.87,43.54,70,45.0,90,5.82
Mendi,PG,1579739383,-6.18,143.65,69.51,62,69.51,26,1.19
Tessalit,ML,1579739383,20.2,1.01,71.65,18,71.65,42,9.91
Lakes Entrance,AU,1579739383,-37.88,147.98,62.76,96,64.0,100,1.99
Chimichagua,CO,1579739383,9.26,-73.81,79.63,78,79.63,100,5.14
Pangai,TO,1579739383,-19.8,-174.35,82.4,74,82.4,20,5.82
Moron,AR,1579738744,-34.65,-58.62,78.08,83,79.0,0,18.34
Nouadhibou,MR,1579739386,20.93,-17.03,60.8,72,60.8,0,14.99
Tahta,EG,1579739192,26.77,31.5,46.4,61,46.4,0,4.7
Point Fortin,TT,1579739386,10.18,-61.68,75.99,78,77.0,20,5.82
Yaan,NG,1579739386,7.38,8.57,76.8,18,76.8,46,5.26
Carnarvon,AU,1579739386,-24.87,113.63,75.2,53,75.2,0,18.34
Waliso,ET,1579739387,8.53,37.98,59.72,63,59.72,99,4.52
Pangkalanbuun,ID,1579739153,-2.68,111.62,78.08,90,78.08,86,1.61
Aripuana,BR,1579739387,-9.17,-60.63,75.33,96,75.33,100,1.7
Araouane,ML,1579739387,18.9,-3.53,75.92,18,75.92,98,7.67
Ancud,CL,1579738818,-41.87,-73.82,66.2,63,66.2,52,10.29
Khandyga,RU,1579739192,62.67,135.6,-32.94,98,-32.94,23,1.9
Nelson Bay,AU,1579739119,-32.72,152.15,98.37,29,98.6,11,6.93
Hamilton,US,1579739306,39.18,-84.53,32.38,68,35.6,1,4.21
Eilat,IL,1579739387,29.56,34.95,50.0,76,50.0,20,3.98
Veracruz,MX,1579739165,19.33,-96.67,71.35,78,71.6,20,4.05
Kostrzyn,PL,1579739387,52.4,17.23,31.01,100,33.01,40,4.7
Gao,ML,1579739388,16.64,1.64,77.65,13,77.65,95,11.48
Boquira,BR,1579739388,-12.82,-42.73,70.5,93,70.5,100,2.39
Salinas,US,1579739388,36.68,-121.66,58.71,77,64.0,1,7.27
Mount Isa,AU,1579739182,-20.73,139.5,86.0,62,86.0,40,12.75
OErnskoeldsvik,SE,1579739388,63.29,18.72,26.78,79,28.4,8,10.29
Anloga,GH,1579739388,5.79,0.9,82.4,83,82.4,20,6.93
Mnogovershinnyy,RU,1579739388,53.94,139.92,-5.22,87,-5.22,47,4.27
Abucay,PH,1579739388,14.77,120.48,78.51,69,80.6,40,4.7
Dapaong,TG,1579739388,10.86,0.2,80.13,14,80.13,71,14.7
Grindavik,IS,1579739388,63.84,-22.43,31.15,66,32.0,75,46.08
Bemidji,US,1579739388,47.47,-94.88,23.45,92,26.01,40,3.02
Phalaborwa,ZA,1579739389,-23.94,31.14,66.2,93,66.2,15,2.24
Tromso,NO,1579739389,69.65,18.96,24.48,92,28.99,75,2.24
Dandong,CN,1579739389,40.13,124.39,31.95,86,31.95,99,1.32
Batagay,RU,1579739389,67.63,134.63,-26.63,96,-26.63,100,1.19
Mogadishu,SO,1579739256,2.04,45.34,80.62,84,80.62,31,24.43
Gubkinskiy,RU,1579739389,64.43,76.5,1.51,93,1.51,100,20.74
Onega,RU,1579739389,63.91,38.14,21.92,85,21.92,86,18.48
Nuuk,GL,1579739389,64.18,-51.72,15.42,72,15.8,100,19.46
Jiexiu,CN,1579739389,37.02,111.91,21.69,71,21.69,10,0.87
Itarema,BR,1579738820,-2.92,-39.92,76.95,90,76.95,97,3.62
Santa Vitoria do Palmar,BR,1579739398,-33.52,-53.37,70.2,81,70.2,0,9.53
Paarl,ZA,1579739398,-33.73,18.98,65.98,59,66.99,0,6.93
Darnah,LY,1579739399,32.77,22.64,58.37,69,58.37,7,18.95
Mpika,ZM,1579739459,-11.83,31.45,62.71,99,62.71,96,3.98
Kwang Binh,VN,1579739459,17.48,106.6,67.82,91,67.82,56,2.57
Polovinnoye,RU,1579739459,54.79,65.99,26.87,90,26.87,100,19.04
Narasannapeta,IN,1579739459,18.42,84.05,65.34,93,65.34,67,3.0
Zyryanka,RU,1579739459,65.75,150.85,-32.49,99,-32.49,85,3.51
Lianhe,CN,1579739459,47.13,129.27,3.92,76,3.92,100,0.36
Tomatlan,MX,1579739459,19.93,-105.25,79.14,53,79.14,29,5.14
Luderitz,NA,1579739202,-26.65,15.16,66.2,77,66.2,0,3.36
Assiniboia,CA,1579739463,49.63,-105.98,26.13,86,26.13,100,7.47
Necochea,AR,1579739463,-38.55,-58.74,67.23,97,69.01,4,1.99
Suriapet,IN,1579739463,17.15,79.62,65.82,96,65.82,66,3.6
Prince Rupert,CA,1579739464,54.32,-130.32,44.6,75,44.6,90,10.29
Sangar,RU,1579739464,63.92,127.47,-18.47,93,-18.47,100,10.92
Rome,US,1579739260,43.21,-75.46,25.45,68,28.99,1,6.93
Ramgarh,IN,1579739464,23.63,85.52,59.0,87,59.0,75,6.26
Dali,CN,1579739465,25.7,100.18,30.29,84,30.29,0,3.27
Djibouti,DJ,1579739465,11.5,42.5,77.0,73,77.0,1,8.28
Barguzin,RU,1579739465,53.62,109.62,-10.77,97,-10.77,95,4.65
Manado,ID,1579739466,1.49,124.85,78.8,94,78.8,40,1.12
Bhag,PK,1579739380,29.04,67.82,57.38,59,57.38,32,3.09
Kalengwa,ZM,1579739466,-13.47,25.0,65.28,99,65.28,100,4.12
Olafsvik,IS,1579739213,64.89,-23.71,31.93,60,31.93,95,45.45
Maniitsoq,GL,1579739466,65.42,-52.9,13.41,80,13.41,100,16.04
Saint-Joseph,RE,1579739466,-21.37,55.62,74.8,94,78.8,75,10.29
Trincomalee,LK,1579739466,8.57,81.23,73.76,94,73.76,95,4.14
Lerwick,GB,1579739280,60.15,-1.15,47.3,87,48.2,100,28.86
Karachi,PK,1579739204,24.91,67.08,59.0,51,59.0,40,13.87
Nalut,LY,1579739466,30.33,10.85,52.3,39,52.3,29,15.7
Aquiraz,BR,1579739467,-3.9,-38.39,83.7,74,84.2,40,9.17
Ulladulla,AU,1579739467,-35.35,150.47,99.36,11,100.99,100,17.22
Quatre Cocos,MU,1579739277,-20.21,57.76,78.89,94,79.0,75,10.29
Dawei,MM,1579739470,14.08,98.2,77.92,69,77.92,26,4.76
Teacapan,MX,1579739470,22.55,-105.75,74.89,60,74.89,71,6.55
Shirokiy,RU,1579739470,49.76,129.52,-9.35,97,-9.35,100,7.87
Atar,MR,1579739179,20.52,-13.05,64.02,26,64.02,100,5.53
Ayan,RU,1579739470,56.45,138.17,-10.7,66,-10.7,100,3.91
El Batey,DO,1579739274,19.77,-70.52,73.74,100,75.2,75,14.36
Srandakan,ID,1579738887,-7.94,110.25,78.26,84,78.26,86,4.7
Ndola,ZM,1579739235,-12.96,28.64,62.96,99,62.96,94,2.89
Basco,PH,1579739197,20.45,121.97,75.06,75,75.06,1,20.49
Lucapa,AO,1579739471,-8.42,20.74,66.38,96,66.38,100,3.4
Sao Joao da Barra,BR,1579739471,-21.64,-41.05,75.24,88,75.24,33,4.29
Puri,IN,1579739471,19.8,85.85,66.2,100,66.2,40,3.65
Kaz,RU,1579739471,52.91,87.31,19.08,96,19.08,100,2.75
Trat,TH,1579739471,12.5,102.5,77.67,94,81.0,20,2.24
Le Vauclin,MQ,1579739474,14.55,-60.84,75.94,88,78.01,66,5.82
Ossora,RU,1579739474,59.24,163.07,-9.69,88,-9.69,0,3.85
Del Rio,US,1579739474,29.36,-100.9,59.02,77,60.8,1,10.29
Sabratah,LY,1579739534,32.79,12.49,60.35,61,60.35,55,16.4
Narrabri,AU,1579739238,-30.32,149.78,94.57,39,95.0,0,26.4
Lubao,PH,1579739535,14.92,120.55,78.24,73,80.6,75,4.7
Ondarroa,ES,1579739535,43.32,-2.42,44.08,93,46.99,75,2.24
Apatou,GF,1579739535,5.16,-54.35,72.93,81,72.93,34,4.7
Khunti,IN,1579739535,23.08,85.28,59.0,87,59.0,75,1.14
Yining,CN,1579739538,29.04,114.56,45.25,98,45.25,100,2.89
Gizo,SB,1579739538,-8.1,156.84,81.77,69,81.77,50,7.27
Mahebourg,MU,1579739538,-20.41,57.7,78.87,94,79.0,75,10.29
Krasnosel'kup,RU,1579739538,65.7,82.47,1.62,93,1.62,99,15.68
Am Timan,TD,1579739538,11.03,20.28,62.37,18,62.37,1,6.91
Linhares,BR,1579739400,-19.39,-40.07,74.48,95,74.48,95,2.77
Enumclaw,US,1579739538,47.2,-121.99,44.8,100,46.99,90,4.7
Fort Payne,US,1579739282,34.44,-85.72,38.32,41,42.8,1,3.38
Morondava,MG,1579739539,-20.28,44.28,72.68,89,72.68,100,5.37
Dumas,US,1579739539,35.87,-101.97,47.77,48,53.6,1,4.7
Piacabucu,BR,1579739539,-10.41,-36.43,81.12,80,81.12,100,15.79
Kalga,RU,1579739539,50.93,118.9,-11.34,77,-11.34,0,8.59
Goba,ET,1579739539,7.02,39.98,49.42,62,49.42,100,2.01
Caravelas,BR,1579739539,-17.71,-39.25,78.03,88,78.03,100,28.05
Black River,JM,1579739539,18.03,-77.85,71.35,73,71.6,90,18.34
Bisira,PA,1579739539,8.52,-81.71,66.07,92,66.07,94,8.57
Muroto,JP,1579739539,33.28,134.15,53.6,100,53.6,75,5.82
Mackay,AU,1579739447,-21.15,149.2,88.65,59,90.0,40,11.41
Betsiamites,CA,1579739539,48.94,-68.65,25.68,85,26.6,90,12.75
Nioro,GM,1579739539,13.35,-15.75,80.08,13,80.08,97,6.51
Nong'an,CN,1579739540,44.38,125.17,14.0,78,14.0,20,4.47
Cayenne,GF,1579739395,4.93,-52.33,71.6,94,71.6,44,3.53
Richards Bay,ZA,1579739540,-28.78,32.04,74.46,73,74.46,100,3.33
Kloulklubed,PW,1579739540,7.04,134.26,84.2,74,84.2,75,13.87
Bantou,CN,1579739540,26.22,117.49,59.65,91,59.65,42,2.84
Stavroleushkovskaya,RU,1579739540,45.99,39.76,35.98,96,35.98,100,19.39
Tabou,CI,1579739540,4.42,-7.35,77.22,89,77.22,41,1.45
Chabahar,IR,1579739540,25.29,60.64,65.5,81,65.5,40,5.5
Kozhva,RU,1579739540,65.11,57.05,12.56,96,12.56,98,4.5
Jinchang,CN,1579739543,38.5,102.17,15.42,55,15.42,93,1.07
West Wendover,US,1579739543,40.74,-114.07,41.0,65,41.0,90,3.65
Straseni,MD,1579739544,47.14,28.61,38.64,64,39.2,90,19.46
Port Pirie,AU,1579739544,-33.18,138.02,71.6,46,71.6,75,19.46
Leh,IN,1579739544,34.17,77.58,-12.8,94,-12.8,100,3.51
Jagtial,IN,1579739553,18.8,78.93,67.15,67,67.15,79,3.53
Omboue,GA,1579739553,-1.57,9.26,76.44,94,76.44,76,2.37
Waitati,NZ,1579739553,-45.75,170.57,64.0,73,64.0,77,7.0
Coos Bay,US,1579739553,43.37,-124.22,52.93,76,55.4,90,17.22
Terrace,CA,1579739353,54.52,-128.6,32.36,91,33.01,90,1.36
Cabedelo,BR,1579739553,-6.98,-34.83,80.6,88,80.6,40,4.7
Oddur,SO,1579739554,4.12,43.89,75.09,66,75.09,83,13.96
Menongue,AO,1579739554,-14.66,17.69,62.56,92,62.56,92,1.23
Kyra,RU,1579739614,49.58,111.98,-11.18,77,-11.18,0,4.47
Novikovo,RU,1579739614,51.15,37.89,29.3,90,29.3,99,11.3
Alice Springs,AU,1579739614,-23.7,133.88,91.4,41,91.4,45,8.05
Kuloy,RU,1579739614,61.03,42.49,20.01,83,20.01,100,11.32
Alekseyevsk,RU,1579739614,57.84,108.35,-13.31,95,-13.31,100,13.65
Visby,SE,1579739517,57.64,18.3,36.14,69,37.99,0,16.11
Laas,IT,1579739614,46.62,10.7,30.6,58,35.01,5,4.7
Acapulco de Juarez,MX,1579739477,16.86,-99.89,82.4,74,82.4,40,6.93
Goderich,CA,1579739542,43.75,-81.72,24.62,85,26.01,100,13.98
Kudirkos Naumiestis,LT,1579739617,54.77,22.86,32.94,82,32.94,0,11.39
Ludvika,SE,1579739618,60.15,15.19,28.35,63,30.99,0,10.29
Belawan,ID,1579739621,3.78,98.68,75.2,100,75.2,40,3.36
Bagdarin,RU,1579739621,54.43,113.6,-24.02,81,-24.02,0,4.56
Oyem,GA,1579739621,1.6,11.58,70.12,93,70.12,21,3.13
Hambantota,LK,1579739621,6.12,81.12,79.99,81,79.99,87,22.79
Saint-Augustin,CA,1579739621,51.23,-58.65,21.7,83,21.7,98,13.67
Bereda,ES,1579739621,43.27,-7.54,47.03,100,51.01,40,1.12
Chimbote,PE,1579739621,-9.09,-78.58,74.53,74,74.53,69,6.49
Sedona,US,1579739621,34.87,-111.76,48.72,61,57.0,1,3.36
Tonekabon,IR,1579739621,36.82,50.87,42.8,87,42.8,66,2.24
Christchurch,NZ,1579739431,-43.53,172.63,71.02,64,75.99,0,20.8
Catherinas Lust,GY,1579739622,6.4,-57.6,78.57,80,78.57,53,14.05
Sorada,IN,1579739622,19.75,84.43,63.59,75,63.59,83,1.74
Clyde River,CA,1579739622,70.47,-68.59,-9.4,76,-9.4,90,13.87
Maumere,ID,1579739622,-8.62,122.21,81.72,71,81.72,27,1.07
Springfield,US,1579739622,37.22,-93.3,32.09,95,34.0,90,18.34
Juneau,US,1579739481,58.3,-134.42,33.85,98,35.6,90,3.36
Alaverdi,AM,1579739622,41.1,44.67,37.4,64,37.4,75,14.99
Adrar,MR,1579739622,20.5,-10.07,65.03,27,65.03,100,8.21
Aklavik,CA,1579739622,68.22,-135.01,-22.76,74,-22.0,75,2.24
Chimore,BO,1579739622,-16.98,-65.13,76.93,90,76.93,98,2.42
Sioux Falls,US,1579739438,43.55,-96.7,32.59,100,33.8,90,3.36
Sale,MA,1579739623,34.04,-6.82,51.35,81,52.0,40,10.29
Rio Gallegos,AR,1579739617,-51.62,-69.22,48.2,100,48.2,90,5.82
Hay River,CA,1579739623,60.82,-115.8,19.4,92,19.4,75,5.82
Hervey Bay,AU,1579739623,-25.3,152.85,80.69,88,82.99,75,11.41
Guerrero Negro,MX,1579739568,27.98,-114.06,62.94,71,62.94,0,11.34
Santiago de Cao,PE,1579739623,-7.96,-79.24,77.0,78,77.0,90,2.24
Teya,RU,1579739623,60.38,92.63,-10.35,98,-10.35,72,4.7
Gananoque,CA,1579739623,44.33,-76.17,28.94,86,32.0,90,12.75
Comodoro Rivadavia,AR,1579739623,-45.87,-67.5,71.6,37,71.6,0,21.92
Kumeny,RU,1579739524,58.11,49.92,22.08,94,22.08,100,10.11
Hailar,CN,1579739623,49.2,119.7,-8.66,88,-8.66,2,14.58
Koslan,RU,1579739624,63.46,48.9,19.26,91,19.26,100,11.88
Kruisfontein,ZA,1579739624,-34.0,24.73,61.61,90,61.61,100,5.53
Katobu,ID,1579739624,-4.94,122.53,81.1,80,81.1,91,5.26
Maniwaki,CA,1579739684,46.38,-75.97,27.39,82,27.39,100,11.45
Bardiyah,LY,1579739684,31.76,25.09,57.0,74,57.0,0,16.26
Rosetta,EG,1579739684,31.4,30.42,55.4,62,55.4,40,9.17
Khovd,MN,1579739684,48.01,91.64,5.56,57,5.56,100,4.03
Dakar,SN,1579739593,14.69,-17.44,72.68,56,73.4,100,10.29
Kahului,US,1579739609,20.89,-156.47,77.47,48,82.4,20,8.05
Waipawa,NZ,1579739684,-41.41,175.52,71.29,64,77.0,0,23.04
Pekan,MY,1579739684,3.48,103.4,77.0,94,77.0,40,4.7
Hai Duong,VN,1579739685,20.93,106.32,70.75,94,71.6,75,3.36
Nerang,AU,1579739685,-27.98,153.33,85.28,79,88.0,75,16.11
Noumea,NC,1579739608,-22.28,166.46,86.27,40,89.6,71,10.29
Upata,VE,1579739685,8.01,-62.4,73.54,80,73.54,78,4.36
La Baule-Escoublac,FR,1579739685,47.29,-2.36,37.54,69,41.0,0,20.8
Coahuayana Viejo,MX,1579739685,18.73,-103.68,75.2,83,75.2,40,11.41
Esim,GH,1579739685,4.87,-2.24,78.84,86,78.84,82,3.06
Azadshahr,IR,1579739685,34.79,48.57,24.94,94,24.94,96,1.48
Naze,JP,1579739685,28.37,129.48,70.75,78,71.6,75,20.8
Sokoni,TZ,1579739685,-6.43,39.55,81.61,83,81.61,100,9.66
Vostok,RU,1579739685,46.49,135.88,0.12,90,0.12,43,4.18
Namie,JP,1579739685,37.48,141.0,39.33,93,45.0,75,2.24
Oranjemund,NA,1579739686,-28.55,16.43,64.87,86,64.87,2,0.07
